canonicalsmiles,anode_limit,type,R,product,comment,molwt,capacity,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,Si_ratio,Se_ratio,P_ratio,idx
FC(F)(F)[B-](F)(F)(F).[Na+],4.635381886302337,,,,3,159.80100000000002,167.7172789212138,9.0,9.0,8.0,0.0,0.0,159.80100000000002,159.80100000000002,0.0,-1.0607000000000002,15.133000000000001,50.0,1.0,-0.44334049830208855,0.8888888888888888,1.0,1.0,10.5,-6.645833333333334,0.07203131862263368,0.7672776383560185,0.6413150752000227,0.9879951343511814,200.21853701782956,308.45203555963514,312.19995406373766,1.6026274868908383,0.7016777621050182,0.004934583725697685,0.5575097479193887,0.0,9.0,0.0,0.5831499628211656,0.1111111111111111,0.0,0.0,0.0,0.6666666666666667,0.0,0.1111111111111111,0.0,0.0,0.0,0
C[B-](F)(F)(F).[Na+],3.9402373249741145,,,,2,105.83099999999999,253.24705321587146,6.0,6.0,5.0,0.0,0.0,105.831,102.807,0.0,-1.5324,14.942000000000002,32.0,1.0,-0.44902259991882415,1.1666666666666667,1.1666666666666667,1.1666666666666667,10.416666666666666,-4.5,0.006686251833305311,0.48718722277657,0.8732975495003136,0.9757377339504791,107.7353407585322,120.37299007453032,123.36613199038126,1.2886216991972663,0.6605679386857967,0.009056802782453766,0.5075824691034583,0.0,9.0,0.0,0.4748206880422694,0.1111111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,1
F[B-](F)(F)c1ccccc1.[Na+],4.4792614411563925,,,,3,167.90200000000004,159.6251914145685,11.0,11.0,5.0,1.0,0.0,167.90200000000002,162.862,0.0,-1.255,35.15400000000001,54.0,1.0,-0.4448579826449578,0.9090909090909091,1.3636363636363635,1.6363636363636365,11.85037037037037,-4.803888888888888,0.3486700047276233,0.9529876646586397,0.30300909393691844,0.8601249914915979,196.1519288779823,556.799051689052,647.3466730962799,2.042054120716014,0.09944896191977962,0.004384993797469332,0.17093203395805132,1.0,9.0,0.0,0.5091321716170938,0.375,0.3125,0.0,0.0,0.1875,0.0,0.0625,0.0,0.0,0.0,2
F[B-](F)(F)c1cccnc1.[Na+],4.587740020725153,,,,3,168.89000000000004,158.6913901882224,11.0,11.0,6.0,1.0,1.0,168.89,164.858,12.89,-1.8599999999999999,32.949,54.0,1.0,-0.4448251618993502,1.2727272727272727,1.9090909090909092,2.1818181818181817,11.81037037037037,-4.866388888888888,0.3557153654163641,0.9544828827661879,0.29826569783726004,0.8696839098837955,191.65786368098173,558.8365053530115,642.5742721027017,2.0308099957805816,0.11462761994017284,0.004537689678788246,0.18974108717020827,1.0,9.0,0.0,0.5106389716785479,0.3333333333333333,0.26666666666666666,0.0,0.06666666666666667,0.2,0.0,0.06666666666666667,0.0,0.0,0.0,3
Fc1ccc([B-](F)(F)(F).[Na+])cc1,4.480559428932208,,,,3,185.89200000000002,144.17720444607022,12.0,12.0,6.0,1.0,0.0,185.89200000000002,181.85999999999999,0.0,-1.1159000000000001,35.11200000000001,60.0,1.0,-0.44485796760929286,0.9166666666666666,1.3333333333333333,1.6666666666666667,12.114444444444445,-4.984999999999999,0.5151476597659483,0.9795050404399256,0.20141965086053468,0.9124166522197975,192.43004650303126,871.6943856603489,955.3687819480537,2.3306435174033817,0.0989496183923121,0.004741549819276402,0.15274981753685127,1.0,9.0,0.0,0.5091354508578568,0.375,0.25,0.0,0.0,0.25,0.0,0.0625,0.0,0.0,0.0,4
FC(F)(F)c1ccc([B-](F)(F)(F).[Na+])cc1,4.892606598950957,,,,3,235.899,113.61383002424296,15.0,15.0,8.0,1.0,0.0,235.89899999999997,231.86699999999996,0.0,-0.2362000000000004,40.15600000000001,78.0,1.0,-0.4448579809976399,0.8666666666666667,1.2666666666666666,1.5333333333333334,11.997384731670447,-5.226071428571428,0.5861095519803664,0.9860721401157355,0.16631817245139918,0.953653004400572,292.5625802329639,1677.5267519000583,1759.0536014244346,2.8114247713513687,0.1290732263269019,0.003259654750245879,0.3418592971463421,0.8571428571428571,9.0,0.0,0.5091325722040351,0.3684210526315789,0.21052631578947367,0.0,0.0,0.3157894736842105,0.0,0.05263157894736842,0.0,0.0,0.0,5
O=[N+](O.[Na+])c1ccc([B-](F)(F)(F).[Na+])cc1,5.050814164899675,,,,3,236.89700000000002,113.13519752841482,15.0,15.0,9.0,2.0,1.0,236.89699999999996,231.85699999999997,40.31,-4.451399999999999,40.227900000000005,70.0,1.0,-0.4448579454523657,1.0666666666666667,1.4666666666666666,1.7333333333333334,12.028953609221468,-5.0428231292517,0.5980988515373026,0.9870513611456456,0.1604045213219631,0.9545694733178326,238.91100711871064,1421.7626308511933,1489.4281355023015,2.5785022474801393,0.12245014325783107,0.003995502278568203,0.3340773863148614,1.0,9.0,0.0,0.5091402546330481,0.3,0.25,0.1,0.05,0.15000000000000002,0.0,0.05,0.0,0.0,0.0,6
F[B-](F)(F)c1ccc2ccccc2c1.[Na+],4.003321707517886,,,,3,217.96200000000005,122.96358488584653,15.0,15.0,5.0,1.0,0.0,217.96200000000002,210.90599999999998,0.0,-0.10180000000000011,52.66000000000002,72.0,1.0,-0.44485777675505966,0.8,1.4,2.0,12.378277588813303,-4.885685941043083,0.5155930937968398,0.9797280380897189,0.2003321526387371,0.8768524268864959,293.8580581737997,1286.2146593837633,1466.854193414073,2.64378192034763,0.049787792221543926,0.0029839318762798378,0.13312547976464575,1.0,9.0,0.0,0.5091536141505787,0.45454545454545464,0.31818181818181823,0.0,0.0,0.13636363636363635,0.0,0.045454545454545456,0.0,0.0,0.0,7
F[B-](F)(F)c1ccsc1.[Na+],4.198751861948525,,,,3,173.93100000000004,154.09207610425332,10.0,10.0,6.0,1.0,1.0,173.931,170.907,0.0,-1.1935,33.031,50.0,1.0,-0.44484085555292047,1.3,1.9,2.1,11.69037037037037,-4.753472222222221,0.39310524567824257,0.9619232376950801,0.27331974824775174,0.8861419722239071,181.9455497981284,589.8936661881066,665.6875361717484,2.032845969491231,0.14667590635118324,0.004870369037369126,0.21045085585840614,1.0,9.0,0.0,0.5099450544706206,0.3076923076923077,0.23076923076923078,0.0,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,8
F[B-](F)(F)C1CCCO1.[Na+],3.517985848573592,,,,2,161.89500000000007,165.5479717649642,10.0,10.0,6.0,1.0,1.0,161.895,154.839,9.23,-1.4439999999999993,28.051999999999992,54.0,1.0,-0.4472987909252897,1.3,1.9,2.1,11.69824074074074,-4.729166666666666,0.30924577214717025,0.9423667026983407,0.33458182503754924,0.8983444099164665,174.4456678053656,468.382556313415,521.3841719758328,1.89620109790813,0.4032754068737414,0.0051497089106206815,0.6269378394781987,0.0,9.0,0.0,0.5061776121144412,0.23529411764705882,0.411764705882353,0.058823529411764705,0.0,0.1764705882352941,0.0,0.058823529411764705,0.0,0.0,0.0,9
