filename,ElectronEnergy(Hart.),ThermalCorrectionGibbs(Hart.),ZeroPointViberationEnergy(Hart.),SolvationEnergy(Hart.),GibssFreeEnergy_298K(Hart.),Voltage,idx,smiles
tp_BF3Li_mol_168_,-662.3767922,-0.008577,0.024426,-0.0741661000000704,-662.4351093,4.635381886302337,168,FC(F)(F)B(F)(F)(F)[Na]
tp_BF3Li_mol_169_,-364.5702457,0.017472,0.046004,-0.08691470000002255,-364.59368440000003,3.9402373249741145,169,CB(F)(F)(F)[Na]
tp_BF3Li_mol_170_,-556.3080271,0.06295,0.098219,-0.08193679999999404,-556.2287949,4.4792614411563925,170,FB(F)(F)([Na])c1ccccc1
tp_BF3Li_mol_171_,-572.3564252,0.051446,0.087181,-0.08235609999996996,-572.3001542999999,4.587740020725153,171,FB(F)(F)([Na])c1cccnc1
tp_BF3Li_mol_172_,-655.5670824,0.053459,0.090168,-0.07756610000001274,-655.5010215000001,4.480559428932208,172,Fc1ccc(B(F)(F)(F)[Na])cc1
tp_BF3Li_mol_173_,-893.4129729,0.061456,0.102487,-0.07066250000002583,-893.3196924,4.892606598950957,173,FC(F)(F)c1ccc(B(F)(F)(F)[Na])cc1
tp_BF3Li_mol_174_,-760.841982,0.061348,0.100549,-0.06943990000002032,-760.7495249000001,5.050814164899675,174,O=[N+](O[Na])c1ccc(B(F)(F)(F)[Na])cc1
tp_BF3Li_mol_175_,-709.9472672,0.104853,0.143446,-0.08001479999995809,-709.7789829999999,4.003321707517886,175,FB(F)(F)([Na])c1ccc2ccccc2c1
tp_BF3Li_mol_176_,-877.079754,0.031131,0.065715,-0.08104030000004059,-877.0639483000001,4.198751861948525,176,FB(F)(F)([Na])c1ccsc1
tp_BF3Li_mol_177_,-556.5051167,0.078828,0.11365,-0.09055919999991602,-556.4031978999999,3.5179858485735918,177,FB(F)(F)([Na])C1CCCO1
tp_BF3Li_mol_178_,-559.9139955,0.129443,0.16478,-0.08081229999993411,-559.7005848,3.6996197807943267,178,FB(F)(F)([Na])C1CCCCC1
tp_BF3Li_mol_179_,-479.0850208,0.045345,0.078561,-0.08614729999999327,-479.0472621,3.6429382603515363,179,COCB(F)(F)(F)[Na]
tp_BO2Li2_mol_144_,-675.3972802,-0.01076,0.023183,-0.16584130000001096,-675.5506985,3.5655270316618313,144,FC(F)(F)B(O[Na])O[Na]
tp_BO2Li2_mol_145_,-377.6272745,0.014492,0.045018,-0.14996949999999742,-377.71773399999995,3.2772676219095023,145,CB(O[Na])O[Na]
tp_BO2Li2_mol_146_,-569.329959,0.060951,0.097271,-0.17295100000001185,-569.344688,3.2663177208890413,146,[Na]OB(O[Na])c1ccccc1
tp_BO2Li2_mol_147_,-585.3768051,0.050598,0.086369,-0.17401380000001154,-585.4138518999999,3.12226556874093,147,[Na]OB(O[Na])c1cccnc1
tp_BO2Li2_mol_148_,-668.6371439,0.053529,0.089814,-0.13356770000007145,-668.6273686,3.435815331398349,148,Fc1ccc(B(O[Na])O[Na])cc1
tp_BO2Li2_mol_149_,-906.4845022,0.060367,0.102141,-0.12547230000006948,-906.4474665,3.4880368896719056,149,FC(F)(F)c1ccc(B(O[Na])O[Na])cc1
tp_BO2Li2_mol_150_,-773.9151562,0.060412,0.100025,-0.12306970000008732,-773.8777889,3.5362583598527784,150,O=[N+](O[Na])c1ccc(B(O[Na])O[Na])cc1
tp_BO2Li2_mol_151_,-722.973706,0.10235,0.142776,-0.16390190000004168,-722.8924819,3.0928064165437115,151,[Na]OB(O[Na])c1ccc2ccccc2c1
tp_BO2Li2_mol_152_,-890.1028957,0.029287,0.064936,-0.17147540000007666,-890.1801481000001,3.2750253956629973,152,[Na]OB(O[Na])c1ccsc1
tp_BO2Li2_mol_153_,-569.5397632,0.07677,0.112922,-0.17599369999993542,-569.5260648999999,3.192199081721992,153,[Na]OB(O[Na])C1CCCO1
tp_BO2Li2_mol_154_,-572.9118654,0.12682,0.163796,-0.17749270000001616,-572.7987421,2.966234921491115,154,[Na]OB(O[Na])C1CCCCC1
tp_BO2Li2_mol_155_,-492.1174372,0.043056,0.077489,-0.17793779999999515,-492.17483,3.2139873166811586,155,COCB(O[Na])O[Na]
tp_COOCOOLi_mol_100_,-708.0880662,0.064634,0.104086,-0.10190670000008595,-708.0212529,5.049260389178812,100,O=C(O[Na])C(=O)Oc1ccc(F)cc1
tp_COOCOOLi_mol_101_,-945.9323583,0.071117,0.116139,-0.09605339999995977,-945.8411557000001,5.099770345131063,101,O=C(O[Na])C(=O)Oc1ccc(C(F)(F)F)cc1
tp_COOCOOLi_mol_102_,-813.3596367,0.071529,0.114053,-0.09454059999995934,-813.2685952999999,5.133458161888617,102,O=C(O[Na])C(=O)Oc1ccc([N+](=O)O[Na])cc1
tp_COOCOOLi_mol_103_,-762.4690915,0.115501,0.157323,-0.10485189999997147,-762.3011194,4.286424541120674,103,O=C(O[Na])C(=O)Oc1ccc2ccccc2c1
tp_COOCOOLi_mol_104_,-929.5981741,0.041509,0.079445,-0.10277539999992769,-929.5799955,4.487835779656779,104,O=C(O[Na])C(=O)Oc1ccsc1
tp_COOCOOLi_mol_105_,-609.0466007,0.091034,0.128933,-0.11385099999995418,-608.9404847,4.965895287867221,105,O=C(O[Na])C(=O)OC1CCCO1
tp_COOCOOLi_mol_106_,-612.4483651,0.14095,0.179831,-0.10898259999999027,-612.2365667,4.9617128828317565,106,O=C(O[Na])C(=O)OC1CCCCC1
tp_COOCOOLi_mol_107_,-531.6204768,0.057069,0.093789,-0.11089149999997971,-531.5805103,4.951598374360035,107,COCOC(=O)C(=O)O[Na]
tp_COOCOOLi_mol_96_,-714.9033171,0.002662,0.038423,-0.08703239999999823,-714.9492645,5.252625412237933,96,O=C(O[Na])C(=O)OC(F)(F)F
tp_COOCOOLi_mol_97_,-417.0984477,0.029511,0.06157,-0.10802789999996776,-417.11539459999995,4.9982007612569745,97,COC(=O)C(=O)O[Na]
tp_COOCOOLi_mol_98_,-608.8325127,0.073739,0.112149,-0.1052474999999049,-608.7518721999999,5.1051119593708165,98,O=C(O[Na])C(=O)Oc1ccccc1
tp_COOCOOLi_mol_99_,-624.8762542,0.063093,0.100918,-0.10532880000005207,-624.817572,5.099982594704857,99,O=C(O[Na])C(=O)Oc1cccnc1
tp_COOLi_mol_84_,-526.322811,-0.006433,0.024807,-0.0901522000000341,-526.3945892,5.305663315025123,84,O=C(O[Na])C(F)(F)F
tp_COOLi_mol_85_,-228.5195462,0.020655,0.046544,-0.11241079999999215,-228.56475799999998,4.3960323972627116,85,CC(=O)O[Na]
tp_COOLi_mol_86_,-420.2635524,0.066764,0.098949,-0.10328730000003361,-420.20112670000003,4.510878464009675,86,O=C(O[Na])c1ccccc1
tp_COOLi_mol_87_,-436.3107978,0.055816,0.087838,-0.10270250000002079,-436.26984630000004,4.61022214852184,87,O=C(O[Na])c1cccnc1
tp_COOLi_mol_88_,-519.5223354,0.057511,0.090937,-0.09867159999998876,-519.4725589999999,4.525232521636095,88,O=C(O[Na])c1ccc(F)cc1
