canonicalsmiles,anode_limit,type,R,product,comment,molwt,capacity,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,Si_ratio,Se_ratio,P_ratio,idx
C[S-].[Na+],,S-,C,CSSC,,70.09199999999998,382.3744348697269,3.0,3.0,2.0,0.0,1.0,70.092,67.068,0.0,-2.8328999999999995,13.289000000000001,14.0,1.0,-0.795927314016815,1.3333333333333333,1.3333333333333333,1.3333333333333333,4.083333333333333,0.0,0.8310069938862993,0.998159977272322,0.06063546628597617,0.9969483900495476,3.2860674067567324,54.028439318163564,54.193817711545115,0.891875884219726,0.6862619279227201,0.3033864697965862,0.3468952077446355,0.0,16.0,1.0,-0.1888696574589376,0.16666666666666666,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,216
FC(F)(F)[S-].[Na+],,S-,C(F)(F)F,FC(F)(F)SSC(F)(F)F,,124.062,216.03221686647717,6.0,6.0,5.0,0.0,1.0,124.062,124.062,0.0,-1.9429,13.42,32.0,1.0,-0.6803170785730797,1.1666666666666667,1.1666666666666667,1.1666666666666667,10.168981481481481,-4.416666666666667,0.07330432069054929,0.7700795706144222,0.6379478465535463,0.9858650035872991,97.67483345225524,150.9436869361922,153.1078660739031,1.2724208950165423,0.8521655648588644,0.010093336929713866,0.45222280337456616,0.0,16.0,1.0,0.27568095157931594,0.16666666666666666,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,217
CC[S-].[Na+],,S-,CC,CCSSCC,,84.11899999999997,318.6127853266075,4.0,4.0,2.0,0.0,1.0,84.119,79.079,0.0,-2.442799999999999,17.906,20.0,1.0,-0.7928460777903672,1.75,1.75,1.75,4.393518518518518,0.0,0.5919810718496055,0.9868549075624726,0.1616087603438125,0.8982491243649164,17.681416630563962,98.27633707570504,109.40877581727537,1.1573978200596444,0.5585751296973388,0.05080187538888766,0.421754330991186,0.0,16.0,1.0,-0.17950801590932094,0.2222222222222222,0.5555555555555556,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,218
FC(F)(F)C(F)(F)[S-].[Na+],,S-,C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)SSC(F)(F)C(F)(F)F,,174.06900000000002,153.96991359109828,9.0,9.0,7.0,0.0,1.0,174.06900000000002,174.06900000000002,0.0,-1.3076,18.367,50.0,1.0,-0.7074941844451078,0.8888888888888888,1.0,1.0,10.918981481481481,-5.581018518518518,0.07819374015527832,0.7905430438438665,0.6124064792521995,0.9179817029694471,223.1408605258955,334.48246236348706,364.3672431395068,1.6273745639187687,0.6986434202041137,0.0041139112792070425,0.522793423918839,0.0,16.0,1.0,0.2315495509778235,0.2222222222222222,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.0,219
CCC[S-].[Na+],,S-,CCC,CCCSSCCC,,98.14599999999996,273.07673149072707,5.0,5.0,2.0,1.0,1.0,98.14599999999999,91.08999999999999,0.0,-2.052699999999999,22.522999999999993,26.0,1.0,-0.7925952648165194,1.6,1.8,1.8,4.5532407407407405,0.0,0.44451825370447023,0.9706815750667074,0.24036904922642635,0.8559629501287817,43.185204298716776,153.78408739564046,179.66208394008558,1.385182347156054,0.5025414268210233,0.019820745647235856,0.5088286462900443,0.0,16.0,1.0,-0.17686849563406662,0.25,0.5833333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,220
FC(F)(F)C(F)(F)C(F)(F)[S-].[Na+],,S-,C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)SSC(F)(F)C(F)(F)C(F)(F)F,,224.07600000000002,119.60847609243687,12.0,12.0,9.0,1.0,1.0,224.07600000000002,224.07600000000002,0.0,-0.6723000000000003,23.314,68.0,1.0,-0.7103402120696178,0.75,1.0,1.0,11.458333333333334,-6.307291666666667,0.0658126845880326,0.771642635573556,0.6360563205920496,0.8968912784979263,383.2811770681986,540.4577138780869,602.5899981804055,1.8454887099445862,0.645559831815069,0.002340034763403837,0.6144979052153939,0.0,16.0,1.0,0.20925133903372103,0.25,0.0,0.0,0.0,0.5833333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,221
COC[S-].[Na+],,S-,COC,COCSSCOC,,100.11799999999997,267.6980052427026,5.0,5.0,3.0,1.0,2.0,100.118,95.07799999999999,9.23,-2.8587999999999987,19.240999999999996,26.0,1.0,-0.7647420548248554,1.8,2.0,2.0,4.356481481481482,0.0,0.4895576336287752,0.9767293909322932,0.21447539926301964,0.8663506383669888,35.612802024691895,143.85413839604303,166.04609268505666,1.3135939407824138,0.3648280487179767,0.024326943939045022,0.401044179472828,0.0,16.0,1.0,-0.07354193202576277,0.2,0.5,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,222
FC(F)(F)OC(F)(F)[S-].[Na+],,S-,C(F)(F)OC(F)(F)F,FC(F)(F)OC(F)(F)SSC(F)(F)OC(F)(F)F,,190.068,141.00947497153064,10.0,10.0,8.0,1.0,2.0,190.068,190.068,9.23,-1.3760000000000001,19.451999999999998,56.0,1.0,-0.6852378797985967,1.0,1.3,1.3,11.090856481481481,-5.369791666666667,0.1933175191857638,0.8972954996335315,0.4414303867399831,0.8903545268228082,229.25911625675522,462.4101514217528,519.3550855206448,1.7848714305900701,0.4603351307902497,0.003883616675140932,0.5010910967016937,0.0,16.0,1.0,0.24595472731244225,0.2,0.0,0.1,0.0,0.5,0.1,0.0,0.0,0.0,0.0,223
CCCC[S-].[Na+],,S-,CCCC,CCCCSSCCCC,,112.17299999999994,238.92905502116287,6.0,6.0,2.0,2.0,1.0,112.17299999999999,103.10099999999998,0.0,-1.6625999999999992,27.13999999999999,32.0,1.0,-0.7925861691496237,1.5,2.0,2.0,4.651157407407407,0.0,0.6982967579099815,0.9935019070050733,0.11381546809323631,0.9508450852861627,40.40597743230627,337.56242188644296,355.01305849927326,1.8075375531861175,0.4108077734334892,0.023532287688848783,0.5394945000411997,0.0,16.0,1.0,-0.17661589720620707,0.26666666666666666,0.6,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,224
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[S-].[Na+],,S-,C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)SSC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,274.08299999999997,97.78566671004364,15.0,15.0,11.0,2.0,1.0,274.08299999999997,274.08299999999997,0.0,-0.037000000000000366,28.261000000000003,86.0,1.0,-0.7104653706033439,0.6,0.8666666666666667,0.9333333333333333,11.880208333333334,-6.869791666666666,0.10817089041092681,0.8339161915004686,0.5518910993605112,0.8440883681957632,571.5705124201997,874.18699394974,1035.658145388631,2.127618270911434,0.5039808001321607,0.001476787815070518,0.6128896972638616,0.0,16.0,1.0,0.2064634638197494,0.26666666666666666,0.0,0.0,0.0,0.6,0.06666666666666667,0.0,0.0,0.0,0.0,225
CCOC[S-].[Na+],,S-,COCC,CCOCSSCOCC,,114.14499999999995,234.8012518190801,6.0,6.0,3.0,2.0,2.0,114.145,107.08899999999998,9.23,-2.4686999999999983,23.857999999999993,32.0,1.0,-0.7647284217283177,1.6666666666666667,2.1666666666666665,2.1666666666666665,4.648148148148148,0.0,0.7655609594484042,0.9963418689071492,0.08545689125289532,0.9426764556612192,30.405591230878084,335.40460638786567,355.800343133216,1.777902702829333,0.3057219430850316,0.031003391728291533,0.4354329070238976,0.0,16.0,1.0,-0.07317725310499536,0.23076923076923078,0.5384615384615385,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,226
FC(F)([S-])OC(F)(F)C(F)(F)F.[Na+],,S-,C(F)(F)OC(F)(F)C(F)(F)F,FC(F)(OC(F)(F)C(F)(F)F)SSC(F)(F)OC(F)(F)C(F)(F)F,,240.07499999999996,111.63756696402746,13.0,13.0,10.0,2.0,2.0,240.07499999999996,240.07499999999996,9.23,-0.7406999999999999,24.399000000000004,74.0,1.0,-0.6853408354616893,0.8461538461538461,1.1538461538461537,1.2307692307692308,11.532708333333334,-6.199166666666667,0.2614040920077546,0.924577827627947,0.38099322915084216,0.9517026759578779,356.4404739002914,890.3710797870793,935.5559275809863,2.1319424361393735,0.44101796555031325,0.0026700185462779453,0.5868329402650766,0.0,16.0,1.0,0.24345225382944483,0.23076923076923078,0.0,0.07692307692307693,0.0,0.5384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,227
COCC[S-].[Na+],,S-,CCOC,COCCSSCCOC,,114.14499999999995,234.8012518190801,6.0,6.0,3.0,2.0,2.0,114.145,107.08899999999998,9.23,-2.8162999999999982,24.107999999999993,32.0,1.0,-0.7904145714066391,1.6666666666666667,2.1666666666666665,2.1666666666666665,4.586805555555555,0.0,0.7836227475358374,0.9969306235547294,0.07829004929605202,0.9494168443734623,28.52963420947469,345.97647499060326,364.4094551734223,1.7990944475714954,0.3007690406589365,0.033278269093901004,0.42382071064833593,0.0,16.0,1.0,-0.15261068056081364,0.23076923076923078,0.5384615384615385,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,228
FC(F)(F)OC(F)(F)C(F)(F)[S-].[Na+],,S-,C(F)(F)C(F)(F)OC(F)(F)F,FC(F)(F)OC(F)(F)C(F)(F)SSC(F)(F)C(F)(F)OC(F)(F)F,,240.075,111.63756696402744,13.0,13.0,10.0,2.0,2.0,240.075,240.075,9.23,-0.7407000000000004,24.399,74.0,1.0,-0.7078203364370735,0.8461538461538461,1.1538461538461537,1.2307692307692308,11.630208333333334,-5.855416666666666,0.15710933764999216,0.8758768812108536,0.482534650528175,0.8696869135263023,414.13826060651814,746.4140145081747,858.2560032801971,2.050496686727972,0.4419046142713825,0.002099991708693177,0.6069674151202623,0.0,16.0,1.0,0.2272446425182348,0.23076923076923078,0.0,0.07692307692307693,0.0,0.5384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,229
CCCCC[S-].[Na+],,S-,CCCCC,CCCCCSSCCCCC,,126.19999999999993,212.3723366789929,7.0,7.0,2.0,3.0,1.0,126.2,115.11199999999998,0.0,-1.2724999999999995,31.756999999999987,38.0,1.0,-0.7925860169215664,1.2857142857142858,1.8571428571428572,2.0,4.717453703703703,0.0,0.7469236738619683,0.9956381808819792,0.09329851429697776,0.9569421758188026,52.4865229723758,538.3426292778155,562.5654745723642,2.137687839238729,0.33147320299210387,0.0182321503049926,0.5137195915961357,0.0,16.0,1.0,-0.1766060654170693,0.2777777777777778,0.6111111111111113,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,230
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[S-].[Na+],,S-,C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)SSC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,324.09,82.6973645866546,18.0,18.0,13.0,3.0,1.0,324.09,324.09,0.0,0.5982999999999996,33.208000000000006,104.0,1.0,-0.7104678904782821,0.5,0.7777777777777778,0.9444444444444444,12.204583333333334,-7.385416666666666,0.20160526722958932,0.8975557425286096,0.4409009968846933,0.9543988713673044,688.7775450499264,1490.9662628653816,1562.2045536677683,2.4027084833081314,0.5234452593757734,0.00138564167520607,0.8349573114420488,0.0,16.0,1.0,0.2063288623515429,0.2777777777777778,0.0,0.0,0.0,0.6111111111111113,0.05555555555555555,0.0,0.0,0.0,0.0,231
CCCOC[S-].[Na+],,S-,COCCC,CCCOCSSCOCCC,,128.17199999999997,209.10486603071573,7.0,7.0,3.0,3.0,2.0,128.172,119.10000000000001,9.23,-2.078599999999998,28.47499999999999,38.0,1.0,-0.7647281982139176,1.5714285714285714,2.142857142857143,2.2857142857142856,4.797453703703704,0.0,0.641740010330864,0.9903790825524009,0.13838089767979084,0.9172783877008669,60.977701232368844,404.1997733065797,440.65114661612745,1.8797991159428415,0.283506070390602,0.015042849585381667,0.5136322276438087,0.0,16.0,1.0,-0.07316335100955784,0.25,0.5625,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,232
